"queryName","queryId","matchName","matchId","guildId","guildName","reference","graph","level","community"
"Plagiolepis pygmaea",NA,"Plagiolepis pygmaea","c(""NCBITaxon:72798"", ""NCBI:72798"", ""GBIF:1320777"", ""https://tree.opentreeoflife.org/opentree/ottol@63950"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_foliar"
"Plagiolepis pygmaea",NA,"Plagiolepis pygmaea","c(""NCBITaxon:72798"", ""NCBI:72798"", ""GBIF:1320777"", ""https://tree.opentreeoflife.org/opentree/ottol@63950"")","SFWO:0000062","microorganism",NA,"onto:implicit","species","macrofauna_foliar"
"Plagiolepis pygmaea",NA,"Plagiolepis pygmaea","c(""NCBITaxon:72798"", ""NCBI:72798"", ""GBIF:1320777"", ""https://tree.opentreeoflife.org/opentree/ottol@63950"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","species","macrofauna_foliar"
"Plagiolepis pygmaea",NA,"Plagiolepis pygmaea","c(""NCBITaxon:72798"", ""NCBI:72798"", ""GBIF:1320777"", ""https://tree.opentreeoflife.org/opentree/ottol@63950"")","SFWO:0000009","exudativore",NA,"onto:implicit","species","macrofauna_foliar"
"Plagiolepis pygmaea",NA,"Plagiolepis pygmaea","c(""NCBITaxon:72798"", ""NCBI:72798"", ""GBIF:1320777"", ""https://tree.opentreeoflife.org/opentree/ottol@63950"")","SFWO:0000020","honeydew feeder",NA,"onto:implicit","species","macrofauna_foliar"
"Runcinia grammica",NA,"Runcinia grammica","c(""NCBITaxon:2003129"", ""NCBI:2003129"", ""GBIF:2165513"", ""https://tree.opentreeoflife.org/opentree/ottol@3549740"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_foliar"
"Runcinia grammica",NA,"Runcinia grammica","c(""NCBITaxon:2003129"", ""NCBI:2003129"", ""GBIF:2165513"", ""https://tree.opentreeoflife.org/opentree/ottol@3549740"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","species","macrofauna_foliar"
"Runcinia grammica",NA,"Runcinia grammica","c(""NCBITaxon:2003129"", ""NCBI:2003129"", ""GBIF:2165513"", ""https://tree.opentreeoflife.org/opentree/ottol@3549740"")","ECOCORE:00000089","predator",NA,"onto:implicit","species","macrofauna_foliar"
"Piezodorus lituratus",NA,"Piezodorus lituratus","c(""NCBITaxon:305495"", ""NCBI:305495"", ""GBIF:2078821"", ""https://tree.opentreeoflife.org/opentree/ottol@682695"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_foliar"
"Piezodorus lituratus",NA,"Piezodorus lituratus","c(""NCBITaxon:305495"", ""NCBI:305495"", ""GBIF:2078821"", ""https://tree.opentreeoflife.org/opentree/ottol@682695"")","ECOCORE:00000019","herbivore",NA,"gratin:gossner_arthropoda","species","macrofauna_foliar"
"Synema globosum",NA,"Synema globosum","c(""NCBITaxon:1112488"", ""NCBI:1112488"", ""https://tree.opentreeoflife.org/opentree/ottol@219969"", ""GBIF:5171516"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_foliar"
"Synema globosum",NA,"Synema globosum","c(""NCBITaxon:1112488"", ""NCBI:1112488"", ""https://tree.opentreeoflife.org/opentree/ottol@219969"", ""GBIF:5171516"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","species","macrofauna_foliar"
"Synema globosum",NA,"Synema globosum","c(""NCBITaxon:1112488"", ""NCBI:1112488"", ""https://tree.opentreeoflife.org/opentree/ottol@219969"", ""GBIF:5171516"")","ECOCORE:00000089","predator",NA,"onto:implicit","species","macrofauna_foliar"
"Crematogaster scutellaris",NA,"Crematogaster scutellaris","c(""NCBITaxon:255218"", ""NCBI:255218"", ""https://tree.opentreeoflife.org/opentree/ottol@313149"", ""GBIF:1325120"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_foliar"
"Crematogaster scutellaris",NA,"Crematogaster scutellaris","c(""NCBITaxon:255218"", ""NCBI:255218"", ""https://tree.opentreeoflife.org/opentree/ottol@313149"", ""GBIF:1325120"")","SFWO:0000062","microorganism",NA,"onto:implicit","species","macrofauna_foliar"
"Crematogaster scutellaris",NA,"Crematogaster scutellaris","c(""NCBITaxon:255218"", ""NCBI:255218"", ""https://tree.opentreeoflife.org/opentree/ottol@313149"", ""GBIF:1325120"")","SFWO:0000009","exudativore",NA,"onto:implicit","species","macrofauna_foliar"
"Crematogaster scutellaris",NA,"Crematogaster scutellaris","c(""NCBITaxon:255218"", ""NCBI:255218"", ""https://tree.opentreeoflife.org/opentree/ottol@313149"", ""GBIF:1325120"")","SFWO:0000020","honeydew feeder",NA,"onto:implicit","species","macrofauna_foliar"
"Crematogaster scutellaris",NA,"Crematogaster scutellaris","c(""NCBITaxon:255218"", ""NCBI:255218"", ""https://tree.opentreeoflife.org/opentree/ottol@313149"", ""GBIF:1325120"")","ECOCORE:00000019","herbivore",NA,"onto:implicit","species","macrofauna_foliar"
"Crematogaster scutellaris",NA,"Crematogaster scutellaris","c(""NCBITaxon:255218"", ""NCBI:255218"", ""https://tree.opentreeoflife.org/opentree/ottol@313149"", ""GBIF:1325120"")","ECOCORE:00000140","nectarivore",NA,"onto:implicit","species","macrofauna_foliar"
"Crematogaster scutellaris",NA,"Crematogaster scutellaris","c(""NCBITaxon:255218"", ""NCBI:255218"", ""https://tree.opentreeoflife.org/opentree/ottol@313149"", ""GBIF:1325120"")","SFWO:0000068","plant exudate feeder",NA,"onto:implicit","species","macrofauna_foliar"
"Crematogaster scutellaris",NA,"Crematogaster scutellaris","c(""NCBITaxon:255218"", ""NCBI:255218"", ""https://tree.opentreeoflife.org/opentree/ottol@313149"", ""GBIF:1325120"")","ECOCORE:00000054","decomposer",NA,"onto:implicit","species","macrofauna_foliar"
"Crematogaster scutellaris",NA,"Crematogaster scutellaris","c(""NCBITaxon:255218"", ""NCBI:255218"", ""https://tree.opentreeoflife.org/opentree/ottol@313149"", ""GBIF:1325120"")","ECOCORE:00000055","detritivore",NA,"onto:implicit","species","macrofauna_foliar"
"Crematogaster scutellaris",NA,"Crematogaster scutellaris","c(""NCBITaxon:255218"", ""NCBI:255218"", ""https://tree.opentreeoflife.org/opentree/ottol@313149"", ""GBIF:1325120"")","ECOCORE:00000056","saprotroph",NA,"onto:implicit","species","macrofauna_foliar"
"Crematogaster scutellaris",NA,"Crematogaster scutellaris","c(""NCBITaxon:255218"", ""NCBI:255218"", ""https://tree.opentreeoflife.org/opentree/ottol@313149"", ""GBIF:1325120"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","species","macrofauna_foliar"
"Crematogaster scutellaris",NA,"Crematogaster scutellaris","c(""NCBITaxon:255218"", ""NCBI:255218"", ""https://tree.opentreeoflife.org/opentree/ottol@313149"", ""GBIF:1325120"")","ECOCORE:00000090","scavenger",NA,"onto:implicit","species","macrofauna_foliar"
"Apis mellifera",NA,"Apis mellifera","c(""NCBITaxon:7460"", ""NCBI:7460"", ""https://tree.opentreeoflife.org/opentree/ottol@461645"", ""GBIF:1341976"")","SFWO:0000062","microorganism",NA,"onto:implicit","species","macrofauna_foliar"
"Apis mellifera",NA,"Apis mellifera unicolor","c(""NCBITaxon:428024"", ""NCBI:428024"", ""GBIF:9515934"")","SFWO:0000062","microorganism",NA,"onto:implicit","species","macrofauna_foliar"
"Apis mellifera",NA,"Apis mellifera mellifera","c(""NCBITaxon:44477"", ""NCBI:44477"", ""https://tree.opentreeoflife.org/opentree/ottol@13206"", ""GBIF:7868270"")","SFWO:0000062","microorganism",NA,"onto:implicit","species","macrofauna_foliar"
"Thomisus onustus",NA,"Thomisus onustus","c(""NCBITaxon:1872008"", ""NCBI:1872008"", ""GBIF:2166135"", ""https://tree.opentreeoflife.org/opentree/ottol@3549599"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_foliar"
"Thomisus onustus",NA,"Thomisus onustus","c(""NCBITaxon:1872008"", ""NCBI:1872008"", ""GBIF:2166135"", ""https://tree.opentreeoflife.org/opentree/ottol@3549599"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","species","macrofauna_foliar"
"Thomisus onustus",NA,"Thomisus onustus","c(""NCBITaxon:1872008"", ""NCBI:1872008"", ""GBIF:2166135"", ""https://tree.opentreeoflife.org/opentree/ottol@3549599"")","ECOCORE:00000089","predator",NA,"onto:implicit","species","macrofauna_foliar"
"Araniella cucurbitina",NA,"Araniella cucurbitina","c(""NCBITaxon:1810957"", ""NCBI:1810957"", ""https://tree.opentreeoflife.org/opentree/ottol@3569434"", ""GBIF:2158384"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_foliar"
"Araniella cucurbitina",NA,"Araniella cucurbitina","c(""NCBITaxon:1810957"", ""NCBI:1810957"", ""https://tree.opentreeoflife.org/opentree/ottol@3569434"", ""GBIF:2158384"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","species","macrofauna_foliar"
"Araniella cucurbitina",NA,"Araniella cucurbitina","c(""NCBITaxon:1810957"", ""NCBI:1810957"", ""https://tree.opentreeoflife.org/opentree/ottol@3569434"", ""GBIF:2158384"")","ECOCORE:00000089","predator",NA,"onto:implicit","species","macrofauna_foliar"
"Araniella cucurbitina",NA,"Araniella cucurbitina","c(""NCBITaxon:1810957"", ""NCBI:1810957"", ""https://tree.opentreeoflife.org/opentree/ottol@3569434"", ""GBIF:2158384"")","ECOCORE:00000088","carnivore",NA,"gratin:gossner_arthropoda","species","macrofauna_foliar"
"Camponotus piceus",NA,"Camponotus piceus","c(""NCBITaxon:605811"", ""NCBI:605811"", ""GBIF:1312835"", ""https://tree.opentreeoflife.org/opentree/ottol@492525"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_foliar"
"Camponotus piceus",NA,"Camponotus piceus","c(""NCBITaxon:605811"", ""NCBI:605811"", ""GBIF:1312835"", ""https://tree.opentreeoflife.org/opentree/ottol@492525"")","SFWO:0000062","microorganism",NA,"onto:implicit","species","macrofauna_foliar"
"Camponotus piceus",NA,"Camponotus piceus","c(""NCBITaxon:605811"", ""NCBI:605811"", ""GBIF:1312835"", ""https://tree.opentreeoflife.org/opentree/ottol@492525"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","species","macrofauna_foliar"
"Camponotus piceus",NA,"Camponotus piceus","c(""NCBITaxon:605811"", ""NCBI:605811"", ""GBIF:1312835"", ""https://tree.opentreeoflife.org/opentree/ottol@492525"")","SFWO:0000009","exudativore",NA,"onto:implicit","species","macrofauna_foliar"
"Camponotus piceus",NA,"Camponotus piceus","c(""NCBITaxon:605811"", ""NCBI:605811"", ""GBIF:1312835"", ""https://tree.opentreeoflife.org/opentree/ottol@492525"")","SFWO:0000020","honeydew feeder",NA,"onto:implicit","species","macrofauna_foliar"
"Camponotus piceus",NA,"Camponotus piceus","c(""NCBITaxon:605811"", ""NCBI:605811"", ""GBIF:1312835"", ""https://tree.opentreeoflife.org/opentree/ottol@492525"")","ECOCORE:00000019","herbivore",NA,"onto:implicit","species","macrofauna_foliar"
"Camponotus piceus",NA,"Camponotus piceus","c(""NCBITaxon:605811"", ""NCBI:605811"", ""GBIF:1312835"", ""https://tree.opentreeoflife.org/opentree/ottol@492525"")","ECOCORE:00000140","nectarivore",NA,"onto:implicit","species","macrofauna_foliar"
"Camponotus piceus",NA,"Camponotus piceus","c(""NCBITaxon:605811"", ""NCBI:605811"", ""GBIF:1312835"", ""https://tree.opentreeoflife.org/opentree/ottol@492525"")","SFWO:0000068","plant exudate feeder",NA,"onto:implicit","species","macrofauna_foliar"
"Neoscona subfusca",NA,"Neoscona subfusca","c(""NCBITaxon:2578581"", ""NCBI:2578581"", ""GBIF:2158854"", ""https://tree.opentreeoflife.org/opentree/ottol@3569885"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_foliar"
"Neoscona subfusca",NA,"Neoscona subfusca","c(""NCBITaxon:2578581"", ""NCBI:2578581"", ""GBIF:2158854"", ""https://tree.opentreeoflife.org/opentree/ottol@3569885"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","species","macrofauna_foliar"
"Neoscona subfusca",NA,"Neoscona subfusca","c(""NCBITaxon:2578581"", ""NCBI:2578581"", ""GBIF:2158854"", ""https://tree.opentreeoflife.org/opentree/ottol@3569885"")","ECOCORE:00000089","predator",NA,"onto:implicit","species","macrofauna_foliar"
"Dasytes",NA,"Dasytes virens","c(""NCBITaxon:1587230"", ""NCBI:1587230"", ""https://tree.opentreeoflife.org/opentree/ottol@3356427"", ""GBIF:4449929"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","macrofauna_foliar"
"Dasytes",NA,"Dasytes virens","c(""NCBITaxon:1587230"", ""NCBI:1587230"", ""https://tree.opentreeoflife.org/opentree/ottol@3356427"", ""GBIF:4449929"")","ECOCORE:00000088","carnivore",NA,"gratin:gossner_arthropoda","genus","macrofauna_foliar"
"Dasytes",NA,"Dasytes aeratus","c(""NCBITaxon:433036"", ""NCBI:433036"", ""GBIF:4449953"", ""https://tree.opentreeoflife.org/opentree/ottol@387619"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","macrofauna_foliar"
"Dasytes",NA,"Dasytes aeratus","c(""NCBITaxon:433036"", ""NCBI:433036"", ""GBIF:4449953"", ""https://tree.opentreeoflife.org/opentree/ottol@387619"")","ECOCORE:00000088","carnivore",NA,"gratin:gossner_arthropoda","genus","macrofauna_foliar"
"Dasytes",NA,"Dasytes plumbeus","c(""NCBITaxon:433038"", ""NCBI:433038"", ""https://tree.opentreeoflife.org/opentree/ottol@387624"", ""GBIF:4449948"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","macrofauna_foliar"
"Dasytes",NA,"Dasytes plumbeus","c(""NCBITaxon:433038"", ""NCBI:433038"", ""https://tree.opentreeoflife.org/opentree/ottol@387624"", ""GBIF:4449948"")","ECOCORE:00000088","carnivore",NA,"gratin:gossner_arthropoda","genus","macrofauna_foliar"
"Aphis",NA,"Aphis","c(""NCBITaxon:80764"", ""NCBI:80764"", ""GBIF:2049562"", ""https://tree.opentreeoflife.org/opentree/ottol@1026470"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","macrofauna_foliar"
"Aphis",NA,"Aphis","c(""NCBITaxon:80764"", ""NCBI:80764"", ""GBIF:2049562"", ""https://tree.opentreeoflife.org/opentree/ottol@1026470"")","ECOCORE:00000019","herbivore",NA,"onto:implicit","genus","macrofauna_foliar"
"Aphis",NA,"Aphis <genus>","NCBITaxon:80764","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","macrofauna_foliar"
"Aphis",NA,"Aphis <genus>","NCBITaxon:80764","ECOCORE:00000019","herbivore",NA,"onto:implicit","genus","macrofauna_foliar"
"Aphis",NA,"Aphis rumicis","c(""NCBITaxon:345560"", ""NCBI:345560"", ""https://tree.opentreeoflife.org/opentree/ottol@902674"", ""GBIF:2072183"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","macrofauna_foliar"
"Aphis",NA,"Aphis rumicis","c(""NCBITaxon:345560"", ""NCBI:345560"", ""https://tree.opentreeoflife.org/opentree/ottol@902674"", ""GBIF:2072183"")","ECOCORE:00000019","herbivore",NA,"onto:implicit","genus","macrofauna_foliar"
"Aphis",NA,"Aphis rubifolii","c(""NCBITaxon:527583"", ""NCBI:527583"", ""GBIF:2072072"", ""https://tree.opentreeoflife.org/opentree/ottol@882436"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","macrofauna_foliar"
"Aphis",NA,"Aphis rubifolii","c(""NCBITaxon:527583"", ""NCBI:527583"", ""GBIF:2072072"", ""https://tree.opentreeoflife.org/opentree/ottol@882436"")","ECOCORE:00000019","herbivore",NA,"onto:implicit","genus","macrofauna_foliar"
"Anaspis",NA,"Anaspis flava","c(""NCBITaxon:1553069"", ""NCBI:1553069"", ""https://tree.opentreeoflife.org/opentree/ottol@3357086"", ""GBIF:5750812"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","macrofauna_foliar"
"Anaspis",NA,"Anaspis flava","c(""NCBITaxon:1553069"", ""NCBI:1553069"", ""https://tree.opentreeoflife.org/opentree/ottol@3357086"", ""GBIF:5750812"")","ECOCORE:00000019","herbivore",NA,"gratin:gossner_arthropoda","genus","macrofauna_foliar"
"Anaspis",NA,"Anaspis flava","c(""NCBITaxon:1553069"", ""NCBI:1553069"", ""https://tree.opentreeoflife.org/opentree/ottol@3357086"", ""GBIF:5750812"")","ECOCORE:00000088","carnivore",NA,"gratin:gossner_arthropoda","genus","macrofauna_foliar"
"Anaspis",NA,"Anaspis frontalis","c(""NCBITaxon:433021"", ""NCBI:433021"", ""GBIF:5750877"", ""https://tree.opentreeoflife.org/opentree/ottol@963793"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","macrofauna_foliar"
"Anaspis",NA,"Anaspis frontalis","c(""NCBITaxon:433021"", ""NCBI:433021"", ""GBIF:5750877"", ""https://tree.opentreeoflife.org/opentree/ottol@963793"")","ECOCORE:00000088","carnivore",NA,"gratin:gossner_arthropoda","genus","macrofauna_foliar"
"Anaspis",NA,"Anaspis frontalis","c(""NCBITaxon:433021"", ""NCBI:433021"", ""GBIF:5750877"", ""https://tree.opentreeoflife.org/opentree/ottol@963793"")","ECOCORE:00000019","herbivore",NA,"gratin:gossner_arthropoda","genus","macrofauna_foliar"
"Anaspis",NA,"Anaspis frontalis","c(""NCBITaxon:433021"", ""NCBI:433021"", ""GBIF:5750877"", ""https://tree.opentreeoflife.org/opentree/ottol@963793"")","ECOCORE:00000054","decomposer",NA,"onto:implicit","genus","macrofauna_foliar"
"Anaspis",NA,"Anaspis frontalis","c(""NCBITaxon:433021"", ""NCBI:433021"", ""GBIF:5750877"", ""https://tree.opentreeoflife.org/opentree/ottol@963793"")","ECOCORE:00000055","detritivore",NA,"gratin:gossner_arthropoda","genus","macrofauna_foliar"
"Anaspis",NA,"Anaspis rufilabris","c(""NCBITaxon:433025"", ""NCBI:433025"", ""GBIF:5750811"", ""https://tree.opentreeoflife.org/opentree/ottol@963802"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","macrofauna_foliar"
"Anaspis",NA,"Anaspis rufilabris","c(""NCBITaxon:433025"", ""NCBI:433025"", ""GBIF:5750811"", ""https://tree.opentreeoflife.org/opentree/ottol@963802"")","ECOCORE:00000054","decomposer",NA,"onto:implicit","genus","macrofauna_foliar"
"Anaspis",NA,"Anaspis rufilabris","c(""NCBITaxon:433025"", ""NCBI:433025"", ""GBIF:5750811"", ""https://tree.opentreeoflife.org/opentree/ottol@963802"")","ECOCORE:00000055","detritivore",NA,"gratin:gossner_arthropoda","genus","macrofauna_foliar"
"Anaspis",NA,"Anaspis rufilabris","c(""NCBITaxon:433025"", ""NCBI:433025"", ""GBIF:5750811"", ""https://tree.opentreeoflife.org/opentree/ottol@963802"")","ECOCORE:00000019","herbivore",NA,"gratin:gossner_arthropoda","genus","macrofauna_foliar"
"Anaspis",NA,"Anaspis rufilabris","c(""NCBITaxon:433025"", ""NCBI:433025"", ""GBIF:5750811"", ""https://tree.opentreeoflife.org/opentree/ottol@963802"")","ECOCORE:00000088","carnivore",NA,"gratin:gossner_arthropoda","genus","macrofauna_foliar"
"Plagiolepis",NA,"Plagiolepis pygmaea","c(""NCBITaxon:72798"", ""NCBI:72798"", ""GBIF:1320777"", ""https://tree.opentreeoflife.org/opentree/ottol@63950"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","macrofauna_foliar"
"Plagiolepis",NA,"Plagiolepis pygmaea","c(""NCBITaxon:72798"", ""NCBI:72798"", ""GBIF:1320777"", ""https://tree.opentreeoflife.org/opentree/ottol@63950"")","SFWO:0000062","microorganism",NA,"onto:implicit","genus","macrofauna_foliar"
"Plagiolepis",NA,"Plagiolepis pygmaea","c(""NCBITaxon:72798"", ""NCBI:72798"", ""GBIF:1320777"", ""https://tree.opentreeoflife.org/opentree/ottol@63950"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","genus","macrofauna_foliar"
"Plagiolepis",NA,"Plagiolepis pygmaea","c(""NCBITaxon:72798"", ""NCBI:72798"", ""GBIF:1320777"", ""https://tree.opentreeoflife.org/opentree/ottol@63950"")","SFWO:0000009","exudativore",NA,"onto:implicit","genus","macrofauna_foliar"
"Plagiolepis",NA,"Plagiolepis pygmaea","c(""NCBITaxon:72798"", ""NCBI:72798"", ""GBIF:1320777"", ""https://tree.opentreeoflife.org/opentree/ottol@63950"")","SFWO:0000020","honeydew feeder",NA,"onto:implicit","genus","macrofauna_foliar"
"Runcinia",NA,"Runcinia","c(""NCBITaxon:486328"", ""NCBI:486328"", ""GBIF:2165509"", ""https://tree.opentreeoflife.org/opentree/ottol@945336"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","macrofauna_foliar"
"Runcinia",NA,"Runcinia","c(""NCBITaxon:486328"", ""NCBI:486328"", ""GBIF:2165509"", ""https://tree.opentreeoflife.org/opentree/ottol@945336"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","genus","macrofauna_foliar"
"Runcinia",NA,"Runcinia","c(""NCBITaxon:486328"", ""NCBI:486328"", ""GBIF:2165509"", ""https://tree.opentreeoflife.org/opentree/ottol@945336"")","ECOCORE:00000089","predator",NA,"onto:implicit","genus","macrofauna_foliar"
"Runcinia",NA,"Runcinia grammica","c(""NCBITaxon:2003129"", ""NCBI:2003129"", ""GBIF:2165513"", ""https://tree.opentreeoflife.org/opentree/ottol@3549740"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","macrofauna_foliar"
"Runcinia",NA,"Runcinia grammica","c(""NCBITaxon:2003129"", ""NCBI:2003129"", ""GBIF:2165513"", ""https://tree.opentreeoflife.org/opentree/ottol@3549740"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","genus","macrofauna_foliar"
"Runcinia",NA,"Runcinia grammica","c(""NCBITaxon:2003129"", ""NCBI:2003129"", ""GBIF:2165513"", ""https://tree.opentreeoflife.org/opentree/ottol@3549740"")","ECOCORE:00000089","predator",NA,"onto:implicit","genus","macrofauna_foliar"
"Piezodorus",NA,"Piezodorus lituratus","c(""NCBITaxon:305495"", ""NCBI:305495"", ""GBIF:2078821"", ""https://tree.opentreeoflife.org/opentree/ottol@682695"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","macrofauna_foliar"
"Piezodorus",NA,"Piezodorus lituratus","c(""NCBITaxon:305495"", ""NCBI:305495"", ""GBIF:2078821"", ""https://tree.opentreeoflife.org/opentree/ottol@682695"")","ECOCORE:00000019","herbivore",NA,"gratin:gossner_arthropoda","genus","macrofauna_foliar"
"Synema",NA,"Synema globosum","c(""NCBITaxon:1112488"", ""NCBI:1112488"", ""https://tree.opentreeoflife.org/opentree/ottol@219969"", ""GBIF:5171516"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","macrofauna_foliar"
"Synema",NA,"Synema globosum","c(""NCBITaxon:1112488"", ""NCBI:1112488"", ""https://tree.opentreeoflife.org/opentree/ottol@219969"", ""GBIF:5171516"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","genus","macrofauna_foliar"
"Synema",NA,"Synema globosum","c(""NCBITaxon:1112488"", ""NCBI:1112488"", ""https://tree.opentreeoflife.org/opentree/ottol@219969"", ""GBIF:5171516"")","ECOCORE:00000089","predator",NA,"onto:implicit","genus","macrofauna_foliar"
"Synema",NA,"Synema","c(""NCBITaxon:635342"", ""NCBI:635342"", ""https://tree.opentreeoflife.org/opentree/ottol@735737"", ""GBIF:2166255"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","macrofauna_foliar"
"Synema",NA,"Synema","c(""NCBITaxon:635342"", ""NCBI:635342"", ""https://tree.opentreeoflife.org/opentree/ottol@735737"", ""GBIF:2166255"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","genus","macrofauna_foliar"
"Synema",NA,"Synema","c(""NCBITaxon:635342"", ""NCBI:635342"", ""https://tree.opentreeoflife.org/opentree/ottol@735737"", ""GBIF:2166255"")","ECOCORE:00000089","predator",NA,"onto:implicit","genus","macrofauna_foliar"
"Psallus",NA,"Psallus ambiguus","c(""NCBITaxon:1545226"", ""NCBI:1545226"", ""GBIF:4488715"", ""https://tree.opentreeoflife.org/opentree/ottol@3477000"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","macrofauna_foliar"
"Psallus",NA,"Psallus ambiguus","c(""NCBITaxon:1545226"", ""NCBI:1545226"", ""GBIF:4488715"", ""https://tree.opentreeoflife.org/opentree/ottol@3477000"")","ECOCORE:00000088","carnivore",NA,"gratin:gossner_arthropoda","genus","macrofauna_foliar"
"Psallus",NA,"Psallus ambiguus","c(""NCBITaxon:1545226"", ""NCBI:1545226"", ""GBIF:4488715"", ""https://tree.opentreeoflife.org/opentree/ottol@3477000"")","ECOCORE:00000019","herbivore",NA,"gratin:gossner_arthropoda","genus","macrofauna_foliar"
"Psallus",NA,"Psallus varians","c(""NCBITaxon:1545233"", ""NCBI:1545233"", ""GBIF:4488696"", ""https://tree.opentreeoflife.org/opentree/ottol@3476959"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","macrofauna_foliar"
"Psallus",NA,"Psallus varians","c(""NCBITaxon:1545233"", ""NCBI:1545233"", ""GBIF:4488696"", ""https://tree.opentreeoflife.org/opentree/ottol@3476959"")","ECOCORE:00000019","herbivore",NA,"gratin:gossner_arthropoda","genus","macrofauna_foliar"
"Psallus",NA,"Psallus varians","c(""NCBITaxon:1545233"", ""NCBI:1545233"", ""GBIF:4488696"", ""https://tree.opentreeoflife.org/opentree/ottol@3476959"")","ECOCORE:00000088","carnivore",NA,"gratin:gossner_arthropoda","genus","macrofauna_foliar"
"Psallus",NA,"Psallus perrisi","c(""NCBITaxon:2882745"", ""NCBI:2882745"", ""GBIF:4488729"", ""https://tree.opentreeoflife.org/opentree/ottol@3476980"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","macrofauna_foliar"
"Psallus",NA,"Psallus perrisi","c(""NCBITaxon:2882745"", ""NCBI:2882745"", ""GBIF:4488729"", ""https://tree.opentreeoflife.org/opentree/ottol@3476980"")","ECOCORE:00000019","herbivore",NA,"gratin:gossner_arthropoda","genus","macrofauna_foliar"
"Psallus",NA,"Psallus perrisi","c(""NCBITaxon:2882745"", ""NCBI:2882745"", ""GBIF:4488729"", ""https://tree.opentreeoflife.org/opentree/ottol@3476980"")","ECOCORE:00000088","carnivore",NA,"gratin:gossner_arthropoda","genus","macrofauna_foliar"
"Phylloneta",NA,"Phylloneta","c(""NCBITaxon:1405155"", ""NCBI:1405155"", ""https://tree.opentreeoflife.org/opentree/ottol@3564148"", ""GBIF:4407945"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","macrofauna_foliar"
"Phylloneta",NA,"Phylloneta","c(""NCBITaxon:1405155"", ""NCBI:1405155"", ""https://tree.opentreeoflife.org/opentree/ottol@3564148"", ""GBIF:4407945"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","genus","macrofauna_foliar"
"Phylloneta",NA,"Phylloneta","c(""NCBITaxon:1405155"", ""NCBI:1405155"", ""https://tree.opentreeoflife.org/opentree/ottol@3564148"", ""GBIF:4407945"")","ECOCORE:00000089","predator",NA,"onto:implicit","genus","macrofauna_foliar"
"Phylloneta",NA,"Phylloneta impressa","c(""NCBITaxon:1405156"", ""NCBI:1405156"", ""GBIF:6718007"", ""https://tree.opentreeoflife.org/opentree/ottol@5125972"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","macrofauna_foliar"
