"queryName","queryId","matchName","matchId","interactionId","interactionName","resourceId","resourceName","reference","graph","level","community"
"Theridiidae",NA,"Theridiidae","c(""NCBITaxon:34643"", ""NCBI:34643"", ""GBIF:9583"", ""https://tree.opentreeoflife.org/opentree/ottol@917915"")","RO:0002470","eats","NCBI:7147","Diptera",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Theridiidae",NA,"Theridiidae","c(""NCBITaxon:34643"", ""NCBI:34643"", ""GBIF:9583"", ""https://tree.opentreeoflife.org/opentree/ottol@917915"")","RO:0002470","eats","NCBI:6392","Lumbricidae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Curculionidae",NA,"Otiorhynchus","c(""NCBITaxon:41162"", ""NCBI:41162"", ""GBIF:1194803"", ""https://tree.opentreeoflife.org/opentree/ottol@817298"")","RO:0002470","eats","NCBI:58023","Tracheophyta",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Curculionidae",NA,"Barynotus","c(""NCBITaxon:201778"", ""NCBI:201778"", ""GBIF:1198599"", ""https://tree.opentreeoflife.org/opentree/ottol@910720"")","RO:0002470","eats","NCBI:3803","Fabaceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Curculionidae",NA,"Barynotus","c(""NCBITaxon:201778"", ""NCBI:201778"", ""GBIF:1198599"", ""https://tree.opentreeoflife.org/opentree/ottol@910720"")","RO:0002470","eats","NCBI:3440","Ranunculaceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Curculionidae",NA,"Barynotus","c(""NCBITaxon:201778"", ""NCBI:201778"", ""GBIF:1198599"", ""https://tree.opentreeoflife.org/opentree/ottol@910720"")","RO:0002470","eats","NCBI:24921","Violaceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Curculionidae",NA,"Barynotus","c(""NCBITaxon:201778"", ""NCBI:201778"", ""GBIF:1198599"", ""https://tree.opentreeoflife.org/opentree/ottol@910720"")","RO:0002470","eats","NCBI:4335","Primulaceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Curculionidae",NA,"Barynotus","c(""NCBITaxon:201778"", ""NCBI:201778"", ""GBIF:1198599"", ""https://tree.opentreeoflife.org/opentree/ottol@910720"")","RO:0002470","eats","NCBI:3745","Rosaceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Curculionidae",NA,"Barynotus","c(""NCBITaxon:201778"", ""NCBI:201778"", ""GBIF:1198599"", ""https://tree.opentreeoflife.org/opentree/ottol@910720"")","RO:0002470","eats","NCBI:156152","Plantaginaceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Curculionidae",NA,"Barynotus","c(""NCBITaxon:201778"", ""NCBI:201778"", ""GBIF:1198599"", ""https://tree.opentreeoflife.org/opentree/ottol@910720"")","RO:0002470","eats","NCBI:3977","Euphorbiaceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Curculionidae",NA,"Sitona lineatus","c(""NCBITaxon:202195"", ""NCBI:202195"", ""https://tree.opentreeoflife.org/opentree/ottol@238839"", ""GBIF:1181282"")","RO:0002470","eats","NCBI:3803","Fabaceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Aphididae",NA,"Myzus persicae","c(""NCBITaxon:13164"", ""NCBI:13164"", ""https://tree.opentreeoflife.org/opentree/ottol@785522"", ""GBIF:2076179"")","RO:0002470","eats","NCBI:58023","Tracheophyta",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Aphididae",NA,"Pemphigus","c(""NCBITaxon:13192"", ""NCBI:13192"", ""https://tree.opentreeoflife.org/opentree/ottol@108951"", ""GBIF:2049366"")","RO:0002470","eats","NCBI:4210","Asteraceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Aphididae",NA,"Pemphigus","c(""NCBITaxon:13192"", ""NCBI:13192"", ""https://tree.opentreeoflife.org/opentree/ottol@108951"", ""GBIF:2049366"")","RO:0002470","eats","NCBI:3688","Salicaceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Aphididae",NA,"Aulacorthum solani","c(""NCBITaxon:202456"", ""NCBI:202456"", ""https://tree.opentreeoflife.org/opentree/ottol@935701"", ""GBIF:2076745"")","RO:0002470","eats","NCBI:58023","Tracheophyta",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Aphididae",NA,"Rhopalosiphum padi","c(""NCBITaxon:40932"", ""NCBI:40932"", ""https://tree.opentreeoflife.org/opentree/ottol@954228"", ""GBIF:2069580"")","RO:0002470","eats","NCBI:4479","Poaceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Aphididae",NA,"Acyrthosiphon pisum","c(""NCBITaxon:7029"", ""NCBI:7029"", ""GBIF:2077503"", ""https://tree.opentreeoflife.org/opentree/ottol@814484"")","RO:0002444","parasite of","NCBI:3803","Fabaceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Forficulidae",NA,"Forficula","c(""NCBITaxon:13067"", ""NCBI:13067"", ""GBIF:1419844"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"")","RO:0002470","eats","NCBI:66547","Endeostigmata",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Forficulidae",NA,"Forficula","c(""NCBITaxon:13067"", ""NCBI:13067"", ""GBIF:1419844"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"")","RO:0002470","eats","NCBI:27482","Aphididae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Forficulidae",NA,"Forficula","c(""NCBITaxon:13067"", ""NCBI:13067"", ""GBIF:1419844"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"")","RO:0002470","eats","NCBI:34634","Mesostigmata",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Forficulidae",NA,"Forficula","c(""NCBITaxon:13067"", ""NCBI:13067"", ""GBIF:1419844"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"")","RO:0002470","eats","NCBI:66551","Oribatida",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Forficulidae",NA,"Forficula","c(""NCBITaxon:13067"", ""NCBI:13067"", ""GBIF:1419844"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"")","RO:0002470","eats","NCBI:7088","Lepidoptera",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Forficulidae",NA,"Forficula","c(""NCBITaxon:13067"", ""NCBI:13067"", ""GBIF:1419844"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"")","RO:0002470","eats","NCBI:6951","Astigmata",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Forficulidae",NA,"Forficula","c(""NCBITaxon:13067"", ""NCBI:13067"", ""GBIF:1419844"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"")","RO:0002470","eats","NCBI:6893","Araneae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Forficulidae",NA,"Forficula","c(""NCBITaxon:13067"", ""NCBI:13067"", ""GBIF:1419844"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"")","RO:0002470","eats","NCBI:4751","Fungi",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Forficulidae",NA,"Forficula","c(""NCBITaxon:13067"", ""NCBI:13067"", ""GBIF:1419844"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"")","RO:0002470","eats","NCBI:3208","Bryophyta",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Forficulidae",NA,"Forficula","c(""NCBITaxon:13067"", ""NCBI:13067"", ""GBIF:1419844"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"")","RO:0002470","eats","NCBI:58023","Tracheophyta",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Forficulidae",NA,"Forficula","c(""NCBITaxon:13067"", ""NCBI:13067"", ""GBIF:1419844"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"")","RO:0002470","eats","NCBI:3041","Chlorophyta",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Forficulidae",NA,"Forficula","c(""NCBITaxon:13067"", ""NCBI:13067"", ""GBIF:1419844"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"")","RO:0002470","eats","NCBI:7147","Diptera",NA,"gratin:hedde_misc1","family","macrofauna_surface"
